"x    ","sin(x) "
0,0
0.062919,0.062878
0.125838,0.125507
0.188758,0.187639
0.251677,0.249028
0.314596,0.309432
0.377515,0.368612
0.440434,0.426332
0.503354,0.482366
0.566273,0.53649
0.629192,0.588492
0.692111,0.638164
0.75503,0.685311
0.81795,0.729745
0.880869,0.771292
0.943788,0.809786
1.006707,0.845076
1.069626,0.877021
1.132545,0.905495
1.195465,0.930386
1.258384,0.951595
1.321303,0.969038
1.384222,0.982645
1.447141,0.992364
1.51006,0.998156
1.572979,0.999998
1.635899,0.997882
1.698818,0.991816
1.761737,0.981826
1.824656,0.96795
1.887575,0.950244
1.950494,0.928777
2.013413,0.903634
2.076333,0.874915
2.139252,0.842733
2.202171,0.807217
2.26509,0.768506
2.328009,0.726753
2.390928,0.682125
2.453847,0.634797
2.516767,0.584956
2.579686,0.532801
2.642605,0.478537
2.705524,0.422379
2.768443,0.36455
2.831362,0.305278
2.894281,0.244798
2.957201,0.183349
3.02012,0.121174
3.083039,0.05852
3.145958,-0.004365
3.208877,-0.067234
3.271796,-0.129836
3.334715,-0.191924
3.397635,-0.253253
3.460554,-0.31358
3.523473,-0.372666
3.586392,-0.430277
3.649311,-0.486185
3.71223,-0.540169
3.775149,-0.592015
3.838068,-0.641518
3.900988,-0.688483
3.963907,-0.732723
4.026826,-0.774063
4.089745,-0.812339
4.152664,-0.847401
4.215583,-0.87911
4.278502,-0.907339
4.341422,-0.931977
4.404341,-0.952927
4.46726,-0.970106
4.530179,-0.983446
4.593098,-0.992893
4.656017,-0.998412
4.718936,-0.999979
4.781856,-0.997588
4.844775,-0.99125
4.907694,-0.980989
4.970613,-0.966845
5.033532,-0.948875
5.096451,-0.92715
5.15937,-0.901756
5.22229,-0.872793
5.285209,-0.840376
5.348128,-0.804633
5.411047,-0.765706
5.473966,-0.723749
5.536885,-0.678927
5.599804,-0.631418
5.662724,-0.581411
5.725643,-0.529103
5.788562,-0.4747
5.851481,-0.418419
5.9144,-0.360483
5.977319,-0.301119
6.040238,-0.240564
6.103158,-0.179057
6.166077,-0.116841
6.228996,-0.054163
